Position [m]	Sabre [mm/m]	Band width [mm]
6.51	0.43	12.02
6.53	0.42	12.02
6.56	0.43	12.02
6.58	0.43	12.01
6.61	0.43	12.01
6.63	0.42	12.02
6.66	0.40	12.01
6.68	0.42	12.01
6.70	0.44	12.02
6.73	0.43	12.01
6.75	0.40	12.01
6.78	0.40	12.01
6.80	0.41	12.02
6.83	0.42	12.02
6.85	0.42	12.02
6.87	0.40	12.01
6.90	0.40	12.01
6.92	0.40	12.01
6.95	0.41	12.01
6.97	0.41	12.02
7.00	0.40	12.01
7.02	0.39	12.01
7.04	0.40	12.01
7.07	0.42	12.01
7.09	0.42	12.02
7.12	0.40	12.01
7.14	0.39	12.01
7.17	0.40	12.01
7.19	0.40	12.01
7.21	0.39	12.02
7.24	0.38	12.01
7.26	0.39	12.01
7.29	0.40	12.01
7.31	0.40	12.01
7.34	0.40	12.01
7.36	0.38	12.01
7.38	0.38	12.01
7.41	0.39	12.02
7.43	0.40	12.01
7.46	0.41	12.01
7.48	0.40	12.01
7.51	0.38	12.02
7.53	0.38	12.01
7.55	0.39	12.02
7.58	0.39	12.01
7.60	0.39	12.02
7.63	0.38	12.01
7.65	0.39	12.02
7.68	0.40	12.01
7.70	0.39	12.01
7.72	0.39	12.01
7.75	0.38	12.01
7.77	0.38	12.01
7.80	0.38	12.01
7.82	0.39	12.02
7.85	0.40	12.01
7.87	0.37	12.02
7.89	0.37	12.02
7.92	0.38	12.01
7.94	0.38	12.01
7.97	0.38	12.01
7.99	0.37	12.01
8.02	0.38	12.02
8.04	0.38	12.01
8.06	0.38	12.02
8.09	0.37	12.02
8.11	0.37	12.02
8.14	0.37	12.01
8.16	0.37	12.01
8.19	0.37	12.01
8.21	0.37	12.01
8.23	0.39	12.01
8.26	0.37	12.02
8.28	0.37	12.01
8.31	0.37	12.01
8.33	0.37	12.02
8.36	0.37	12.01
8.38	0.36	12.02
8.40	0.37	12.02
8.43	0.37	12.02
8.45	0.36	12.02
8.48	0.35	12.02
8.50	0.35	12.02
8.53	0.35	12.01
8.55	0.35	12.01
8.57	0.35	12.02
8.60	0.35	12.02
8.62	0.35	12.01
8.65	0.34	12.01
8.67	0.35	12.01
8.70	0.35	12.02
8.72	0.35	12.01
8.75	0.34	12.01
8.77	0.35	12.01
8.79	0.35	12.02
8.82	0.36	12.02
8.84	0.35	12.02
8.87	0.35	12.01
8.89	0.34	12.02
8.92	0.34	12.01
8.94	0.34	12.01
8.96	0.35	12.02
8.99	0.35	12.01
9.01	0.34	12.01
9.04	0.32	12.01
9.06	0.34	12.01
9.09	0.35	12.01
9.11	0.34	12.01
9.13	0.34	12.01
9.16	0.34	12.01
9.18	0.35	12.02
9.21	0.35	12.01
9.23	0.35	12.01
9.26	0.34	12.01
9.28	0.34	12.01
9.30	0.34	12.01
9.33	0.35	12.01
9.35	0.37	12.02
9.38	0.34	12.01
9.40	0.34	12.01
9.43	0.34	12.01
9.45	0.35	12.01
9.47	0.35	12.01
9.50	0.34	12.01
9.52	0.35	12.02
9.55	0.35	12.02
9.57	0.35	12.01
9.60	0.35	12.01
9.62	0.34	12.01
9.64	0.34	12.02
9.67	0.34	12.01
9.69	0.34	12.01
9.72	0.35	12.02
9.74	0.36	12.02
9.77	0.35	12.01
9.79	0.34	12.01
9.81	0.35	12.01
9.84	0.35	12.01
9.86	0.35	12.02
9.89	0.35	12.01
9.91	0.35	12.01
9.94	0.36	12.02
9.96	0.35	12.02
9.98	0.35	12.02
10.01	0.35	12.01
10.03	0.34	12.01
10.06	0.35	12.01
10.08	0.35	12.02
10.11	0.36	12.02
10.13	0.36	12.02
10.15	0.36	12.02
10.18	0.35	12.01
10.20	0.35	12.02
10.23	0.35	12.01
10.25	0.35	12.01
10.28	0.36	12.02
10.30	0.35	12.02
10.32	0.35	12.02
10.35	0.35	12.02
10.37	0.35	12.02
10.40	0.36	12.02
10.42	0.35	12.01
10.45	0.34	12.01
10.47	0.35	12.02
10.49	0.35	12.02
10.52	0.37	12.01
10.54	0.35	12.01
10.57	0.34	12.02
10.59	0.35	12.01
10.62	0.35	12.01
10.64	0.35	12.01
10.66	0.35	12.01
10.69	0.35	12.01
10.71	0.35	12.01
10.74	0.34	12.01
10.76	0.34	12.01
10.79	0.35	12.01
10.81	0.35	12.01
10.83	0.35	12.01
10.86	0.36	12.02
10.88	0.35	12.02
10.91	0.36	12.01
10.93	0.35	12.02
10.96	0.35	12.01
10.98	0.35	12.02
11.00	0.35	12.01
11.03	0.35	12.02
11.05	0.36	12.02
11.08	0.35	12.01
11.10	0.35	12.02
11.13	0.35	12.01
11.15	0.35	12.01
11.17	0.35	12.01
11.20	0.34	12.01
11.22	0.36	12.01
11.25	0.35	12.02
11.27	0.35	12.02
11.30	0.35	12.02
11.32	0.36	12.02
11.34	0.35	12.02
11.37	0.35	12.02
11.39	0.36	12.02
11.42	0.35	12.02
11.44	0.37	12.02
11.47	0.35	12.02
11.49	0.35	12.02
