Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
-33.61					24.15	43.82	42.77
-33.61					24.50	43.82	42.77
-33.54					24.84	43.80	42.75
-33.54					25.19	43.80	42.75
-33.48					25.54	43.79	42.74
-33.48					25.89	43.78	42.73
-33.41					26.23	43.77	42.72
-33.41					26.58	43.76	42.71
-33.34					26.93	43.75	42.70
-33.34					27.27	43.75	42.69
-33.27					27.62	43.74	42.69
-33.27					27.97	43.73	42.68
-33.20					28.31	43.73	42.67
-33.20					28.66	43.72	42.66
-33.13					29.01	43.71	42.65
-33.13					29.36	43.70	42.65
-33.06					29.70	43.69	42.64
-33.06					30.05	43.68	42.63
-33.00					30.40	43.68	42.62
-33.00					30.74	43.67	42.61
-32.93					31.09	43.66	42.61
-32.93					31.44	43.65	42.60
-32.86					31.78	43.70	42.59
-32.86					32.13	43.63	42.58
-32.79					32.48	43.68	42.63
-32.79					32.83	43.67	42.63
-32.72					33.17	43.67	42.62
-32.72					33.52	43.66	42.61
-32.65					33.87	43.65	42.60
-32.65					34.21	43.64	42.59
-32.58					34.56	43.64	42.59
-32.58					34.91	43.63	42.58
-32.52					35.25	43.62	42.57
-32.52					35.60	43.62	42.56
-32.45					35.95	43.61	42.56
-32.45					36.30	43.60	42.55
-32.38					36.64	43.59	42.54
-32.38					36.99	43.59	42.53
-32.31					37.34	43.57	42.53
-32.31					37.68	43.57	42.52
-32.24					38.03	43.56	42.51
-32.24					38.38	43.55	42.50
-32.17					38.72	43.54	42.50
-32.17					39.07	43.55	42.49
-32.10					39.42	43.53	42.48
-32.10					39.77	43.53	42.48
-32.04					40.11	43.52	42.47
-32.04					40.46	43.51	42.46
-31.97					40.81	43.51	42.46
-31.97					41.15	43.50	42.45
-31.90					41.50	43.49	42.45
-31.90					41.85	43.49	42.44
-31.83					42.19	43.54	42.49
-31.83					42.54	43.53	42.48
-31.76					42.89	43.53	42.48
-31.76					43.24	43.52	42.47
-31.69					43.58	43.51	42.47
-31.69					43.93	43.51	42.45
-31.62					44.28	43.50	42.45
-31.62					44.62	43.49	42.44
-31.55					44.97	43.49	42.43
-31.55					45.32	43.48	42.43
-31.49					45.66	43.47	42.42
-31.49					46.01	43.46	42.41
-31.42					46.36	43.46	42.41
-31.42					46.71	43.45	42.40
-31.35					47.05	43.45	42.39
-31.35					47.40	43.44	42.39
-31.28					47.75	43.43	42.38
-31.28					48.09	43.43	42.38
-31.21					48.44	43.42	42.37
-31.21					48.79	43.41	42.36
-31.14					49.13	43.40	42.35
-31.14					49.48	43.40	42.35
-31.07					49.83	43.39	42.34
-31.07					50.18	43.38	42.40
-31.01					50.52	43.44	42.39
-31.01					50.87	43.43	42.32
-30.94					51.22	43.43	42.37
-30.94					51.56	43.42	42.37
-30.87					51.91	43.41	42.36
-30.87					52.26	43.41	42.36
-30.80					52.60	43.40	42.35
-30.80					52.95	43.39	42.35
-30.73					53.30	43.39	42.34
-30.73					53.65	43.38	42.33
-30.66					53.99	43.37	42.33
-30.66					54.34	43.37	42.32
-30.59					54.69	43.36	42.31
-30.59					55.03	43.35	42.31
-30.53					55.38	43.35	42.30
-30.53					55.73	43.34	42.29
-30.46					56.07	43.34	42.29
-30.46					56.42	43.33	42.28
