"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"20.03.2024 12:31:36,304" -6,512385 7,925351 0,000000 
"20.03.2024 12:31:36,428" -6,512106 7,925281 0,000000 
"20.03.2024 12:31:36,553" -6,513295 7,925225 0,000000 
"20.03.2024 12:31:36,678" -6,512589 7,925201 0,000000 
"20.03.2024 12:31:36,804" -6,512125 7,925151 0,000000 
"20.03.2024 12:31:36,928" -6,511791 7,925129 0,000000 
"20.03.2024 12:31:37,052" -6,511466 7,925060 0,000000 
"20.03.2024 12:31:37,177" -6,512719 7,925121 0,000000 
"20.03.2024 12:31:37,302" -6,512097 7,925155 0,000000 
"20.03.2024 12:31:37,427" -6,512469 7,925205 0,000000 
"20.03.2024 12:31:37,552" -6,512552 7,925210 0,000000 
"20.03.2024 12:31:37,677" -6,511781 7,925194 0,000000 
"20.03.2024 12:31:37,802" -6,512441 7,925184 0,000000 
"20.03.2024 12:31:37,927" -6,511039 7,925127 0,000000 
"20.03.2024 12:31:38,052" -6,512302 7,925153 0,000000 
"20.03.2024 12:31:38,177" -6,511698 7,925138 0,000000 
"20.03.2024 12:31:38,302" -6,511308 7,925309 0,000000 
"20.03.2024 12:31:38,427" -6,511735 7,925264 0,000000 
"20.03.2024 12:31:38,552" -6,512153 7,925199 0,000000 
"20.03.2024 12:31:38,677" -6,510407 7,925130 0,000000 
"20.03.2024 12:31:38,802" -6,510778 7,925218 0,000000 
"20.03.2024 12:31:38,927" -6,513620 7,925195 0,000000 
"20.03.2024 12:31:39,053" -6,508745 7,925173 0,000000 
"20.03.2024 12:31:39,177" -6,511642 7,925090 0,000000 
"20.03.2024 12:31:39,302" -6,510992 7,925130 0,000000 
"20.03.2024 12:31:39,427" -6,512041 7,925340 0,000000 
"20.03.2024 12:31:39,552" -6,511271 7,925255 0,000000 
"20.03.2024 12:31:39,678" -6,511345 7,925214 0,000000 
"20.03.2024 12:31:39,802" -6,512320 7,925101 0,000000 
"20.03.2024 12:31:39,927" -6,511150 7,925140 0,000000 
"20.03.2024 12:31:40,052" -6,513026 7,925207 0,000000 
"20.03.2024 12:31:40,177" -6,512701 7,925106 0,000000 
"20.03.2024 12:31:40,302" -6,511995 7,925134 0,000000 
"20.03.2024 12:31:40,427" -6,512822 7,925238 0,000000 
"20.03.2024 12:31:40,552" -6,511596 7,925147 0,000000 
"20.03.2024 12:31:40,677" -6,511726 7,925220 0,000000 
