Position [m]	Sabre [mm/m]	Band width [mm]
0.00	-0.41	12.01
0.03	-0.41	12.01
0.05	-0.41	12.01
0.08	-0.41	12.01
0.11	-0.41	12.01
0.13	-0.41	12.01
0.16	-0.41	12.01
0.18	-0.41	12.01
0.21	-0.41	12.01
0.24	-0.41	12.01
0.26	-0.41	12.01
0.29	-0.41	12.01
0.32	-0.41	12.01
0.34	-0.41	12.01
0.37	-0.42	12.01
0.39	-0.41	12.01
0.42	-0.41	12.01
0.45	-0.42	12.01
0.47	-0.41	12.01
0.50	-0.41	12.01
0.53	-0.41	12.01
0.55	-0.41	12.01
0.58	-0.41	12.01
0.61	-0.41	12.01
0.63	-0.41	12.01
0.66	-0.41	12.01
0.68	-0.41	12.01
0.71	-0.42	12.01
0.74	-0.41	12.01
0.76	-0.41	12.01
0.79	-0.41	12.01
0.82	-0.41	12.01
0.84	-0.41	12.01
0.87	-0.41	12.01
0.89	-0.42	12.01
0.92	-0.41	12.01
0.95	-0.41	12.01
0.97	-0.42	12.01
1.00	-0.42	12.01
1.03	-0.41	12.01
1.05	-0.41	12.01
1.08	-0.42	12.01
1.11	-0.41	12.01
1.13	-0.41	12.01
1.16	-0.41	12.01
1.18	-0.41	12.01
1.21	-0.41	12.01
1.24	-0.41	12.01
1.26	-0.42	12.01
1.29	-0.41	12.01
1.32	-0.41	12.01
1.34	-0.41	12.01
1.37	-0.41	12.01
1.39	-0.41	12.01
1.42	-0.41	12.01
1.45	-0.42	12.01
1.47	-0.41	12.01
1.50	-0.41	12.01
1.53	-0.41	12.01
1.55	-0.41	12.01
1.58	-0.41	12.01
1.60	-0.41	12.01
1.63	-0.41	12.01
1.66	-0.41	12.01
1.68	-0.41	12.01
1.71	-0.41	12.01
1.74	-0.41	12.01
1.76	-0.41	12.01
1.79	-0.41	12.01
1.82	-0.42	12.01
1.84	-0.41	12.01
1.87	-0.41	12.01
1.89	-0.42	12.01
1.92	-0.41	12.01
1.95	-0.41	12.01
1.97	-0.42	12.01
2.00	-0.41	12.01
2.03	-0.41	12.01
2.05	-0.41	12.01
2.08	-0.42	12.01
2.10	-0.41	12.01
2.13	-0.40	12.01
2.16	-0.42	12.01
2.18	-0.41	12.01
2.21	-0.40	12.01
2.24	-0.41	12.01
2.26	-0.41	12.01
2.29	-0.41	12.01
2.32	-0.41	12.01
2.34	-0.42	12.01
2.37	-0.41	12.01
2.39	-0.41	12.01
2.42	-0.41	12.01
