"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"19.04.2024 11:57:34,851" -6,501287 7,925838 0,000000 
"19.04.2024 11:57:34,976" -6,500405 7,925875 0,000000 
"19.04.2024 11:57:35,102" -6,501668 7,925862 0,000000 
"19.04.2024 11:57:35,227" -6,501325 7,925792 0,000000 
"19.04.2024 11:57:35,352" -6,500962 7,925786 0,000000 
"19.04.2024 11:57:35,476" -6,503581 7,925853 0,000000 
"19.04.2024 11:57:35,601" -6,502030 7,925855 0,000000 
"19.04.2024 11:57:35,727" -6,502142 7,925890 0,000000 
"19.04.2024 11:57:35,852" -6,503888 7,925829 0,000000 
"19.04.2024 11:57:35,976" -6,502773 7,925799 0,000000 
"19.04.2024 11:57:36,102" -6,503163 7,925816 0,000000 
"19.04.2024 11:57:36,226" -6,503628 7,925853 0,000000 
"19.04.2024 11:57:36,352" -6,502792 7,925916 0,000000 
"19.04.2024 11:57:36,477" -6,505466 7,925881 0,000000 
"19.04.2024 11:57:36,602" -6,503841 7,925883 0,000000 
"19.04.2024 11:57:36,727" -6,504176 7,925818 0,000000 
"19.04.2024 11:57:36,852" -6,506581 7,925870 0,000000 
"19.04.2024 11:57:36,977" -6,503943 7,925948 0,000000 
"19.04.2024 11:57:37,102" -6,507324 7,925699 0,000000 
"19.04.2024 11:57:37,226" -6,506126 7,925728 0,000000 
"19.04.2024 11:57:37,351" -6,506516 7,925740 0,000000 
"19.04.2024 11:57:37,476" -6,508754 7,925810 0,000000 
"19.04.2024 11:57:37,601" -6,506785 7,925886 0,000000 
"19.04.2024 11:57:37,727" -6,508513 7,925862 0,000000 
"19.04.2024 11:57:37,851" -6,507528 7,925808 0,000000 
"19.04.2024 11:57:37,976" -6,508689 7,925743 0,000000 
"19.04.2024 11:57:38,102" -6,509636 7,925747 0,000000 
"19.04.2024 11:57:38,226" -6,508995 7,925883 0,000000 
"19.04.2024 11:57:38,352" -6,509980 7,925795 0,000000 
"19.04.2024 11:57:38,476" -6,511066 7,925764 0,000000 
"19.04.2024 11:57:38,602" -6,509218 7,925721 0,000000 
"19.04.2024 11:57:38,727" -6,510203 7,925740 0,000000 
"19.04.2024 11:57:38,851" -6,509135 7,925699 0,000000 
"19.04.2024 11:57:38,977" -6,510045 7,925766 0,000000 
"19.04.2024 11:57:39,102" -6,509738 7,925767 0,000000 
"19.04.2024 11:57:39,227" -6,509701 7,925805 0,000000 
"19.04.2024 11:57:39,351" -6,511911 7,925818 0,000000 
"19.04.2024 11:57:39,477" -6,510751 7,925790 0,000000 
