"Zeit (Y, M, d, h, min, s)";"Zeit kleiner Sekunde";"Pulszahl";"OUT1";"OUT2";"OUT3";"OUT4"
19.04.2024 10:39:56;0,4735625;0;8,05;9,14;-3,98;3,00
19.04.2024 10:39:56;0,5985625;0;8,02;9,17;-4,01;2,97
19.04.2024 10:39:56;0,7235625;0;8,06;9,14;-4,02;2,95
19.04.2024 10:39:56;0,8485625;0;8,05;9,15;-3,98;2,99
19.04.2024 10:39:56;0,9735625;0;8,02;9,17;-4,01;2,96
19.04.2024 10:39:57;0,0985625;0;8,06;9,14;-4,01;2,95
19.04.2024 10:39:57;0,2235625;0;8,04;9,15;-3,97;2,99
19.04.2024 10:39:57;0,3485625;0;8,04;9,16;-4,00;2,96
19.04.2024 10:39:57;0,4735625;0;8,05;9,14;-4,01;2,95
19.04.2024 10:39:57;0,5985625;0;8,04;9,16;-3,97;2,98
19.04.2024 10:39:57;0,7235625;0;8,04;9,15;-4,00;2,95
19.04.2024 10:39:57;0,8485625;0;8,04;9,15;-4,01;2,95
19.04.2024 10:39:57;0,9735625;0;8,04;9,16;-3,97;2,98
19.04.2024 10:39:58;0,0985625;0;8,05;9,15;-4,00;2,95
19.04.2024 10:39:58;0,2235625;0;8,04;9,16;-4,00;2,94
19.04.2024 10:39:58;0,3485625;0;8,04;9,15;-3,97;2,98
19.04.2024 10:39:58;0,4735625;0;8,06;9,14;-4,00;2,95
19.04.2024 10:39:58;0,5985625;0;8,03;9,16;-4,00;2,95
19.04.2024 10:39:58;0,7235625;0;8,04;9,16;-3,98;2,98
19.04.2024 10:39:58;0,8485625;0;8,06;9,14;-4,00;2,96
19.04.2024 10:39:58;0,9735625;0;8,02;9,17;-4,01;2,95
19.04.2024 10:39:59;0,0985625;0;8,06;9,14;-3,96;2,98
19.04.2024 10:39:59;0,2235625;0;8,05;9,14;-4,02;2,96
19.04.2024 10:39:59;0,3485625;0;8,02;9,17;-4,01;2,96
19.04.2024 10:39:59;0,4735625;0;8,05;9,15;-3,99;2,99
19.04.2024 10:39:59;0,5985625;0;8,05;9,14;-4,01;2,96
19.04.2024 10:39:59;0,7235625;0;8,02;9,17;-4,00;2,96
19.04.2024 10:39:59;0,8485625;0;8,05;9,14;-3,98;2,98
19.04.2024 10:39:59;0,9735625;0;8,06;9,14;-4,00;2,95
19.04.2024 10:40:00;0,0985625;0;8,02;9,18;-4,00;2,96
19.04.2024 10:40:00;0,2235625;0;8,06;9,14;-3,98;2,98
19.04.2024 10:40:00;0,3485625;0;8,06;9,14;-3,99;2,95
19.04.2024 10:40:00;0,4735625;0;8,01;9,18;-3,99;2,95
19.04.2024 10:40:00;0,5985625;0;8,07;9,13;-3,97;2,98
19.04.2024 10:40:00;0,7235625;0;8,05;9,15;-3,99;2,95
19.04.2024 10:40:00;0,8485625;0;8,01;9,18;-4,00;2,95
19.04.2024 10:40:00;0,9735625;0;8,07;9,13;-3,98;2,98
19.04.2024 10:40:01;0,0985625;0;8,05;9,15;-4,00;2,96
19.04.2024 10:40:01;0,2235625;0;8,01;9,18;-4,00;2,96
19.04.2024 10:40:01;0,3485625;0;8,08;9,12;-3,96;2,99
19.04.2024 10:40:01;0,4735625;0;8,01;9,18;-4,32;3,35
19.04.2024 10:40:01;0,5985625;0;8,02;9,18;-3,94;2,90
19.04.2024 10:40:01;0,7235625;0;8,08;9,12;-3,82;2,80
19.04.2024 10:40:01;0,8485625;0;8,12;9,09;-3,72;2,79
19.04.2024 10:40:01;0,9735625;0;8,00;9,19;-3,90;2,85
19.04.2024 10:40:02;0,0985625;0;8,08;9,12;-4,07;3,12
19.04.2024 10:40:02;0,2235625;0;8,07;9,14;-4,12;3,33
19.04.2024 10:40:02;0,3485625;0;7,99;9,19;-4,12;3,18
19.04.2024 10:40:02;0,4735625;0;7,98;9,22;-4,63;3,65
19.04.2024 10:40:02;0,5985625;0;7,96;9,21;-4,65;3,83
19.04.2024 10:40:02;0,7235625;0;7,96;9,22;-4,44;3,58
19.04.2024 10:40:02;0,8485625;0;8,06;9,14;-4,13;3,22
19.04.2024 10:40:02;0,9735625;0;8,12;9,08;-3,70;2,86
19.04.2024 10:40:03;0,0985625;0;8,11;9,09;-3,46;2,63
19.04.2024 10:40:03;0,2235625;0;8,14;9,06;-3,42;2,44
19.04.2024 10:40:03;0,3485625;0;8,20;9,01;-3,19;2,40
19.04.2024 10:40:03;0,4735625;0;8,08;9,11;-3,38;2,60
19.04.2024 10:40:03;0,5985625;0;8,19;9,02;-3,36;2,47
19.04.2024 10:40:03;0,7235625;0;8,15;9,05;-3,32;2,45
19.04.2024 10:40:03;0,8485625;0;8,07;9,12;-3,65;2,87
19.04.2024 10:40:03;0,9735625;0;8,15;9,05;-4,12;3,20
19.04.2024 10:40:04;0,0985625;0;7,95;9,22;-4,22;3,35
19.04.2024 10:40:04;0,2235625;0;8,04;9,14;-3,99;3,22
19.04.2024 10:40:04;0,3485625;0;8,12;9,07;-4,13;3,23
19.04.2024 10:40:04;0,4735625;0;7,87;9,30;-4,38;3,24
19.04.2024 10:40:04;0,5985625;0;8,01;9,18;-4,32;3,31
19.04.2024 10:40:04;0,7235625;0;8,10;9,09;-4,15;3,22
19.04.2024 10:40:04;0,8485625;0;7,87;9,30;-4,20;3,03
19.04.2024 10:40:04;0,9735625;0;8,10;9,10;-4,10;3,14
19.04.2024 10:40:05;0,0985625;0;8,11;9,09;-3,94;3,21
19.04.2024 10:40:05;0,2235625;0;8,12;9,08;-3,78;2,94
19.04.2024 10:40:05;0,3485625;0;7,97;9,21;-3,75;2,64
19.04.2024 10:40:05;0,4735625;0;8,16;9,04;-3,38;2,50
19.04.2024 10:40:05;0,5985625;0;8,13;9,07;-3,28;2,53
19.04.2024 10:40:05;0,7235625;0;8,23;8,98;-3,39;2,41
19.04.2024 10:40:05;0,8485625;0;8,00;9,18;-3,40;2,58
19.04.2024 10:40:05;0,9735625;0;8,22;8,99;-3,42;2,77
19.04.2024 10:40:06;0,0985625;0;8,01;9,17;-3,91;2,93
19.04.2024 10:40:06;0,2235625;0;8,12;9,08;-4,41;3,53
19.04.2024 10:40:06;0,3485625;0;7,91;9,26;-4,66;3,79
19.04.2024 10:40:06;0,4735625;0;8,10;9,09;-4,45;3,57
19.04.2024 10:40:06;0,5985625;0;7,95;9,23;-4,41;3,26
19.04.2024 10:40:06;0,7235625;0;8,07;9,13;-4,10;3,09
19.04.2024 10:40:06;0,8485625;0;8,21;9,00;-3,77;3,04
19.04.2024 10:40:06;0,9735625;0;8,25;8,97;-3,63;2,83
19.04.2024 10:40:07;0,0985625;0;8,11;9,09;-3,76;2,73
19.04.2024 10:40:07;0,2235625;0;8,19;9,01;-3,78;2,90
19.04.2024 10:40:07;0,3485625;0;8,12;9,08;-3,84;2,98
19.04.2024 10:40:07;0,4735625;0;8,27;8,95;-3,85;3,00
19.04.2024 10:40:07;0,5985625;0;8,02;9,17;-3,89;2,87
19.04.2024 10:40:07;0,7235625;0;8,10;9,10;-3,61;2,84
19.04.2024 10:40:07;0,8485625;0;8,30;8,92;-3,63;3,04
19.04.2024 10:40:07;0,9735625;0;8,20;9,02;-3,99;3,02
19.04.2024 10:40:08;0,0985625;0;8,02;9,17;-4,01;2,93
19.04.2024 10:40:08;0,2235625;0;8,14;9,06;-3,85;3,06
19.04.2024 10:40:08;0,3485625;0;8,34;8,87;-3,80;3,15
19.04.2024 10:40:08;0,4735625;0;8,04;9,15;-3,97;2,84
19.04.2024 10:40:08;0,5985625;0;8,12;9,08;-3,68;2,66
19.04.2024 10:40:08;0,7235625;0;8,33;8,88;-3,33;2,77
19.04.2024 10:40:08;0,8485625;0;8,38;8,84;-3,46;2,65
19.04.2024 10:40:08;0,9735625;0;7,93;9,24;-3,81;2,54
19.04.2024 10:40:09;0,0985625;0;8,26;8,94;-3,66;2,84
19.04.2024 10:40:09;0,2235625;0;8,42;8,80;-3,64;3,13
19.04.2024 10:40:09;0,3485625;0;8,05;9,14;-4,04;3,01
19.04.2024 10:40:09;0,4735625;0;7,99;9,19;-4,15;3,17
19.04.2024 10:40:09;0,5985625;0;8,41;8,81;-3,80;3,25
19.04.2024 10:40:09;0,7235625;0;8,19;9,01;-3,53;2,84
19.04.2024 10:40:09;0,8485625;0;8,15;9,06;-3,42;2,43
19.04.2024 10:40:09;0,9735625;0;8,23;8,98;-3,54;2,61
19.04.2024 10:40:10;0,0985625;0;8,30;8,92;-3,67;2,99
19.04.2024 10:40:10;0,2235625;0;8,04;9,15;-3,99;2,94
19.04.2024 10:40:10;0,3485625;0;8,15;9,05;-3,92;3,12
19.04.2024 10:40:10;0,4735625;0;8,27;8,94;-3,87;3,18
19.04.2024 10:40:10;0,5985625;0;8,10;9,11;-3,91;3,09
19.04.2024 10:40:10;0,7235625;0;8,08;9,12;-4,08;3,02
19.04.2024 10:40:10;0,8485625;0;8,23;8,98;-3,94;3,10
19.04.2024 10:40:10;0,9735625;0;8,26;8,95;-3,75;3,03
19.04.2024 10:40:11;0,0985625;0;7,99;9,20;-3,88;2,66
19.04.2024 10:40:11;0,2235625;0;8,11;9,09;-4,01;3,09
19.04.2024 10:40:11;0,3485625;0;8,35;8,87;-4,23;3,63
19.04.2024 10:40:11;0,4735625;0;7,96;9,22;-4,64;3,57
19.04.2024 10:40:11;0,5985625;0;8,01;9,18;-4,62;3,65
19.04.2024 10:40:11;0,7235625;0;8,17;9,03;-4,24;3,66
19.04.2024 10:40:11;0,8485625;0;8,38;8,84;-3,87;3,09
19.04.2024 10:40:11;0,9735625;0;7,89;9,28;-3,79;2,44
19.04.2024 10:40:12;0,0985625;0;8,23;8,98;-3,35;2,50
19.04.2024 10:40:12;0,2235625;0;8,34;8,87;-3,39;2,89
19.04.2024 10:40:12;0,3485625;0;8,17;9,04;-3,74;2,84
19.04.2024 10:40:12;0,4735625;0;7,90;9,27;-3,94;2,81
19.04.2024 10:40:12;0,5985625;0;8,47;8,75;-3,62;3,11
19.04.2024 10:40:12;0,7235625;0;8,26;8,96;-3,74;3,15
19.04.2024 10:40:12;0,8485625;0;7,90;9,27;-4,21;3,01
19.04.2024 10:40:12;0,9735625;0;8,01;9,17;-4,39;3,41
19.04.2024 10:40:13;0,0985625;0;8,32;8,89;-4,11;3,66
19.04.2024 10:40:13;0,2235625;0;8,00;9,19;-4,08;3,18
19.04.2024 10:40:13;0,3485625;0;8,08;9,12;-3,99;2,91
19.04.2024 10:40:13;0,4735625;0;8,22;8,99;-3,80;3,17
