"Zeit (Y, M, d, h, min, s)";"Zeit kleiner Sekunde";"Pulszahl";"OUT1";"OUT2";"OUT3";"OUT4"
19.04.2024 10:40:13;0,5985625;0;8,19;9,02;-3,89;3,35
19.04.2024 10:40:13;0,7235625;0;8,11;9,09;-4,10;3,08
19.04.2024 10:40:13;0,8485625;0;8,02;9,17;-3,87;2,92
19.04.2024 10:40:13;0,9735625;0;8,33;8,89;-3,43;2,93
19.04.2024 10:40:14;0,0985625;0;8,12;9,08;-3,40;2,66
19.04.2024 10:40:14;0,2235625;0;8,22;8,99;-3,38;2,55
19.04.2024 10:40:14;0,3485625;0;8,22;8,98;-3,36;2,60
19.04.2024 10:40:14;0,4735625;0;8,33;8,89;-3,44;2,74
19.04.2024 10:40:14;0,5985625;0;7,93;9,24;-3,87;2,75
19.04.2024 10:40:14;0,7235625;0;8,24;8,97;-3,93;3,24
19.04.2024 10:40:14;0,8485625;0;8,22;8,98;-4,01;3,41
19.04.2024 10:40:14;0,9735625;0;7,94;9,24;-4,18;3,10
19.04.2024 10:40:15;0,0985625;0;8,14;9,07;-3,88;2,99
19.04.2024 10:40:15;0,2235625;0;8,28;8,94;-3,64;3,08
19.04.2024 10:40:15;0,3485625;0;8,16;9,04;-3,84;2,99
19.04.2024 10:40:15;0,4735625;0;7,97;9,21;-3,84;2,67
19.04.2024 10:40:15;0,5985625;0;8,30;8,91;-3,49;2,70
19.04.2024 10:40:15;0,7235625;0;8,22;8,99;-3,45;2,83
19.04.2024 10:40:15;0,8485625;0;8,05;9,14;-3,91;2,76
19.04.2024 10:40:15;0,9735625;0;7,95;9,22;-4,09;3,18
19.04.2024 10:40:16;0,0985625;0;8,42;8,79;-3,87;3,31
19.04.2024 10:40:16;0,2235625;0;8,06;9,13;-3,86;2,84
19.04.2024 10:40:16;0,3485625;0;7,98;9,21;-4,02;2,70
19.04.2024 10:40:16;0,4735625;0;8,06;9,13;-4,08;3,15
19.04.2024 10:40:16;0,5985625;0;8,34;8,88;-4,11;3,54
19.04.2024 10:40:16;0,7235625;0;7,84;9,32;-4,34;3,26
19.04.2024 10:40:16;0,8485625;0;8,08;9,11;-4,05;2,99
19.04.2024 10:40:16;0,9735625;0;8,38;8,84;-3,83;3,26
19.04.2024 10:40:17;0,0985625;0;7,94;9,24;-4,01;3,15
19.04.2024 10:40:17;0,2235625;0;8,10;9,10;-4,24;3,07
19.04.2024 10:40:17;0,3485625;0;8,11;9,08;-3,86;2,96
19.04.2024 10:40:17;0,4735625;0;8,24;8,97;-3,43;2,81
19.04.2024 10:40:17;0,5985625;0;8,03;9,16;-3,60;2,65
19.04.2024 10:40:17;0,7235625;0;8,24;8,96;-3,93;3,18
19.04.2024 10:40:17;0,8485625;0;8,14;9,06;-4,14;3,49
19.04.2024 10:40:17;0,9735625;0;8,08;9,12;-4,22;3,35
19.04.2024 10:40:18;0,0985625;0;7,92;9,25;-4,21;3,11
19.04.2024 10:40:18;0,2235625;0;8,24;8,97;-3,93;3,22
19.04.2024 10:40:18;0,3485625;0;8,16;9,05;-3,91;3,17
19.04.2024 10:40:18;0,4735625;0;7,99;9,20;-4,07;2,99
19.04.2024 10:40:18;0,5985625;0;8,30;8,92;-3,68;3,04
19.04.2024 10:40:18;0,7235625;0;8,18;9,02;-3,48;2,88
19.04.2024 10:40:18;0,8485625;0;8,27;8,94;-3,53;2,50
19.04.2024 10:40:18;0,9735625;0;8,11;9,09;-3,44;2,50
19.04.2024 10:40:19;0,0985625;0;8,43;8,79;-3,18;2,71
19.04.2024 10:40:19;0,2235625;0;8,20;9,01;-3,45;2,63
19.04.2024 10:40:19;0,3485625;0;8,14;9,06;-3,67;2,57
19.04.2024 10:40:19;0,4735625;0;8,15;9,05;-3,49;2,93
19.04.2024 10:40:19;0,5985625;0;8,54;8,68;-3,43;2,99
19.04.2024 10:40:19;0,7235625;0;7,91;9,27;-3,87;2,72
19.04.2024 10:40:19;0,8485625;0;8,05;9,14;-4,10;2,93
19.04.2024 10:40:19;0,9735625;0;8,28;8,93;-4,04;3,44
19.04.2024 10:40:20;0,0985625;0;8,12;9,08;-4,19;3,44
19.04.2024 10:40:20;0,2235625;0;7,93;9,25;-4,25;3,10
19.04.2024 10:40:20;0,3485625;0;8,22;8,99;-3,95;3,21
19.04.2024 10:40:20;0,4735625;0;8,26;8,95;-3,74;3,21
19.04.2024 10:40:20;0,5985625;0;8,03;9,16;-4,02;3,05
19.04.2024 10:40:20;0,7235625;0;8,18;9,02;-3,99;2,89
19.04.2024 10:40:20;0,8485625;0;8,07;9,12;-3,61;2,83
19.04.2024 10:40:20;0,9735625;0;8,58;8,66;-3,19;2,52
19.04.2024 10:40:21;0,0985625;0;8,08;9,12;-3,39;2,37
19.04.2024 10:40:21;0,2235625;0;8,15;9,05;-3,69;2,79
19.04.2024 10:40:21;0,3485625;0;8,27;8,94;-3,92;3,32
19.04.2024 10:40:21;0,4735625;0;8,22;8,99;-4,20;3,42
19.04.2024 10:40:21;0,5985625;0;7,82;9,34;-4,46;3,24
19.04.2024 10:40:21;0,7235625;0;8,25;8,96;-4,26;3,40
19.04.2024 10:40:21;0,8485625;0;8,16;9,05;-4,17;3,45
19.04.2024 10:40:21;0,9735625;0;7,97;9,21;-4,32;3,31
19.04.2024 10:40:22;0,0985625;0;8,17;9,04;-4,24;3,42
19.04.2024 10:40:22;0,2235625;0;8,16;9,05;-4,01;3,47
19.04.2024 10:40:22;0,3485625;0;8,21;9,01;-4,18;3,23
19.04.2024 10:40:22;0,4735625;0;8,02;9,16;-4,11;3,09
19.04.2024 10:40:22;0,5985625;0;8,44;8,78;-3,57;3,05
19.04.2024 10:40:22;0,7235625;0;8,18;9,02;-3,55;2,61
19.04.2024 10:40:22;0,8485625;0;8,22;8,99;-3,48;2,29
19.04.2024 10:40:22;0,9735625;0;8,21;9,00;-3,34;2,70
19.04.2024 10:40:23;0,0985625;0;8,54;8,68;-3,40;2,82
19.04.2024 10:40:23;0,2235625;0;7,97;9,21;-3,74;2,63
19.04.2024 10:40:23;0,3485625;0;8,21;8,99;-3,64;2,75
19.04.2024 10:40:23;0,4735625;0;8,30;8,90;-3,74;3,06
19.04.2024 10:40:23;0,5985625;0;8,34;8,88;-3,83;3,00
19.04.2024 10:40:23;0,7235625;0;7,77;9,38;-4,33;3,11
19.04.2024 10:40:23;0,8485625;0;8,30;8,91;-4,24;3,48
19.04.2024 10:40:23;0,9735625;0;8,20;9,01;-4,30;3,75
19.04.2024 10:40:24;0,0985625;0;7,84;9,32;-4,44;3,34
19.04.2024 10:40:24;0,2235625;0;8,28;8,94;-3,99;2,97
19.04.2024 10:40:24;0,3485625;0;8,36;8,86;-3,38;2,98
19.04.2024 10:40:24;0,4735625;0;8,31;8,91;-3,30;2,51
19.04.2024 10:40:24;0,5985625;0;8,07;9,12;-3,49;2,13
19.04.2024 10:40:24;0,7235625;0;8,36;8,86;-3,09;2,51
19.04.2024 10:40:24;0,8485625;0;8,26;8,95;-3,32;2,78
19.04.2024 10:40:24;0,9735625;0;8,35;8,87;-3,78;2,64
19.04.2024 10:40:25;0,0985625;0;7,90;9,26;-3,85;2,86
19.04.2024 10:40:25;0,2235625;0;8,49;8,73;-3,61;3,10
19.04.2024 10:40:25;0,3485625;0;8,26;8,95;-3,71;2,98
19.04.2024 10:40:25;0,4735625;0;8,00;9,18;-4,24;3,18
19.04.2024 10:40:25;0,5985625;0;8,22;8,99;-4,25;3,44
19.04.2024 10:40:25;0,7235625;0;8,18;9,02;-4,08;3,34
19.04.2024 10:40:25;0,8485625;0;8,11;9,09;-3,98;3,13
19.04.2024 10:40:25;0,9735625;0;8,17;9,03;-3,88;2,95
19.04.2024 10:40:26;0,0985625;0;8,29;8,93;-3,72;3,03
19.04.2024 10:40:26;0,2235625;0;8,12;9,09;-3,77;2,96
19.04.2024 10:40:26;0,3485625;0;8,21;9,00;-3,93;2,75
19.04.2024 10:40:26;0,4735625;0;8,25;8,96;-3,71;3,03
19.04.2024 10:40:26;0,5985625;0;8,25;8,96;-3,73;2,98
19.04.2024 10:40:26;0,7235625;0;8,07;9,13;-3,98;2,82
19.04.2024 10:40:26;0,8485625;0;8,21;9,00;-3,90;2,95
19.04.2024 10:40:26;0,9735625;0;8,19;9,01;-4,07;3,35
19.04.2024 10:40:27;0,0985625;0;8,29;8,93;-4,42;3,44
19.04.2024 10:40:27;0,2235625;0;7,72;9,41;-4,85;3,58
19.04.2024 10:40:27;0,3485625;0;8,31;8,91;-4,40;3,88
19.04.2024 10:40:27;0,4735625;0;8,23;8,98;-4,28;3,57
19.04.2024 10:40:27;0,5985625;0;8,03;9,16;-4,17;3,06
19.04.2024 10:40:27;0,7235625;0;8,20;9,01;-3,89;2,95
19.04.2024 10:40:27;0,8485625;0;8,38;8,83;-3,59;3,04
19.04.2024 10:40:27;0,9735625;0;8,20;9,01;-3,65;2,80
19.04.2024 10:40:28;0,0985625;0;7,95;9,23;-3,85;2,47
19.04.2024 10:40:28;0,2235625;0;8,45;8,77;-3,41;2,72
19.04.2024 10:40:28;0,3485625;0;8,27;8,94;-3,33;2,74
19.04.2024 10:40:28;0,4735625;0;8,29;8,93;-3,54;2,49
19.04.2024 10:40:28;0,5985625;0;8,10;9,10;-3,71;2,74
19.04.2024 10:40:28;0,7235625;0;8,40;8,82;-3,74;3,14
19.04.2024 10:40:28;0,8485625;0;8,12;9,08;-4,08;3,15
19.04.2024 10:40:28;0,9735625;0;8,14;9,07;-4,20;3,02
19.04.2024 10:40:29;0,0985625;0;8,11;9,09;-4,10;3,29
19.04.2024 10:40:29;0,2235625;0;8,38;8,84;-4,07;3,51
19.04.2024 10:40:29;0,3485625;0;8,05;9,14;-4,20;3,33
19.04.2024 10:40:29;0,4735625;0;8,22;8,99;-4,06;3,21
19.04.2024 10:40:29;0,5985625;0;8,31;8,90;-3,80;3,15
19.04.2024 10:40:29;0,7235625;0;8,24;8,97;-3,53;2,73
19.04.2024 10:40:29;0,8485625;0;8,17;9,03;-3,39;2,34
19.04.2024 10:40:29;0,9735625;0;8,37;8,85;-3,16;2,42
19.04.2024 10:40:30;0,0985625;0;8,34;8,89;-3,24;2,52
19.04.2024 10:40:30;0,2235625;0;8,15;9,05;-3,57;2,61
19.04.2024 10:40:30;0,3485625;0;8,41;8,81;-3,60;2,87
19.04.2024 10:40:30;0,4735625;0;8,18;9,03;-3,92;3,11
19.04.2024 10:40:30;0,5985625;0;8,24;8,97;-4,27;3,18
19.04.2024 10:40:30;0,7235625;0;8,04;9,15;-4,24;3,22
19.04.2024 10:40:30;0,8485625;0;8,40;8,82;-4,05;3,38
19.04.2024 10:40:30;0,9735625;0;8,07;9,13;-4,37;3,38
19.04.2024 10:40:31;0,0985625;0;8,06;9,13;-4,61;3,53
19.04.2024 10:40:31;0,2235625;0;8,25;8,96;-4,37;3,70
19.04.2024 10:40:31;0,3485625;0;8,28;8,93;-4,21;3,47
19.04.2024 10:40:31;0,4735625;0;7,96;9,22;-4,24;3,02
19.04.2024 10:40:31;0,5985625;0;8,20;9,01;-3,94;2,80
19.04.2024 10:40:31;0,7235625;0;8,45;8,76;-3,40;2,84
19.04.2024 10:40:31;0,8485625;0;8,23;8,98;-3,42;2,52
19.04.2024 10:40:31;0,9735625;0;8,10;9,10;-3,47;2,28
19.04.2024 10:40:32;0,0985625;0;8,43;8,79;-3,32;2,65
19.04.2024 10:40:32;0,2235625;0;8,48;8,75;-3,56;2,94
19.04.2024 10:40:32;0,3485625;0;7,95;9,23;-4,24;2,90
19.04.2024 10:40:32;0,4735625;0;8,13;9,07;-4,49;3,24
19.04.2024 10:40:32;0,5985625;0;8,27;8,94;-4,35;3,69
19.04.2024 10:40:32;0,7235625;0;8,29;8,93;-4,32;3,59
19.04.2024 10:40:32;0,8485625;0;7,91;9,27;-4,53;3,27
19.04.2024 10:40:32;0,9735625;0;8,45;8,77;-4,03;3,35
19.04.2024 10:40:33;0,0985625;0;8,22;8,98;-3,85;3,24
19.04.2024 10:40:33;0,2235625;0;8,24;8,98;-3,82;2,70
19.04.2024 10:40:33;0,3485625;0;8,13;9,07;-3,49;2,34
19.04.2024 10:40:33;0,4735625;0;8,44;8,78;-2,99;2,24
19.04.2024 10:40:33;0,5985625;0;8,30;8,92;-3,14;2,37
19.04.2024 10:40:33;0,7235625;0;8,24;8,97;-3,50;2,51
19.04.2024 10:40:33;0,8485625;0;8,28;8,94;-3,71;2,97
19.04.2024 10:40:33;0,9735625;0;8,39;8,83;-3,97;3,27
19.04.2024 10:40:34;0,0985625;0;8,04;9,15;-4,24;3,17
19.04.2024 10:40:34;0,2235625;0;8,16;9,04;-4,18;3,16
19.04.2024 10:40:34;0,3485625;0;8,43;8,79;-3,88;3,20
19.04.2024 10:40:34;0,4735625;0;8,10;9,10;-3,87;2,82
19.04.2024 10:40:34;0,5985625;0;8,21;9,00;-3,88;2,90
19.04.2024 10:40:34;0,7235625;0;8,46;8,75;-3,68;3,12
19.04.2024 10:40:34;0,8485625;0;8,29;8,92;-3,77;2,99
19.04.2024 10:40:34;0,9735625;0;8,14;9,06;-3,82;2,60
19.04.2024 10:40:35;0,0985625;0;8,34;8,87;-3,54;2,72
19.04.2024 10:40:35;0,2235625;0;8,35;8,86;-3,56;2,99
19.04.2024 10:40:35;0,3485625;0;8,23;8,99;-4,09;2,96
19.04.2024 10:40:35;0,4735625;0;8,07;9,12;-4,22;3,07
19.04.2024 10:40:35;0,5985625;0;8,30;8,91;-3,84;3,36
19.04.2024 10:40:35;0,7235625;0;8,38;8,84;-3,89;3,04
19.04.2024 10:40:35;0,8485625;0;8,00;9,19;-4,22;2,92
19.04.2024 10:40:35;0,9735625;0;8,20;9,00;-4,25;3,47
19.04.2024 10:40:36;0,0985625;0;8,43;8,79;-4,31;3,69
19.04.2024 10:40:36;0,2235625;0;8,11;9,09;-4,31;3,26
19.04.2024 10:40:36;0,3485625;0;8,10;9,09;-3,97;2,98
19.04.2024 10:40:36;0,4735625;0;8,52;8,71;-3,49;2,89
19.04.2024 10:40:36;0,5985625;0;8,24;8,97;-3,48;2,66
19.04.2024 10:40:36;0,7235625;0;8,23;8,98;-3,79;2,69
19.04.2024 10:40:36;0,8485625;0;8,35;8,86;-3,77;3,02
19.04.2024 10:40:36;0,9735625;0;8,29;8,92;-3,90;3,22
19.04.2024 10:40:37;0,0985625;0;8,19;9,02;-4,27;3,26
19.04.2024 10:40:37;0,2235625;0;8,24;8,97;-4,25;3,47
19.04.2024 10:40:37;0,3485625;0;8,27;8,95;-4,19;3,58
19.04.2024 10:40:37;0,4735625;0;8,18;9,02;-4,20;3,24
19.04.2024 10:40:37;0,5985625;0;8,23;8,98;-3,99;2,91
19.04.2024 10:40:37;0,7235625;0;8,25;8,96;-3,63;2,83
19.04.2024 10:40:37;0,8485625;0;8,49;8,74;-3,43;2,82
19.04.2024 10:40:37;0,9735625;0;8,18;9,02;-3,62;2,50
19.04.2024 10:40:38;0,0985625;0;8,27;8,94;-3,54;2,71
19.04.2024 10:40:38;0,2235625;0;8,45;8,77;-3,56;3,06
19.04.2024 10:40:38;0,3485625;0;8,36;8,85;-3,90;3,00
19.04.2024 10:40:38;0,4735625;0;8,08;9,12;-3,84;2,79
19.04.2024 10:40:38;0,5985625;0;8,54;8,69;-3,39;2,76
19.04.2024 10:40:38;0,7235625;0;8,39;8,82;-3,33;2,74
19.04.2024 10:40:38;0,8485625;0;8,16;9,04;-3,61;2,41
19.04.2024 10:40:38;0,9735625;0;8,31;8,91;-3,62;2,71
19.04.2024 10:40:39;0,0985625;0;8,50;8,71;-3,53;3,13
19.04.2024 10:40:39;0,2235625;0;8,26;8,95;-3,87;3,05
19.04.2024 10:40:39;0,3485625;0;8,14;9,06;-4,18;2,93
19.04.2024 10:40:39;0,4735625;0;8,35;8,87;-3,96;3,35
19.04.2024 10:40:39;0,5985625;0;8,49;8,74;-3,90;3,40
19.04.2024 10:40:39;0,7235625;0;8,18;9,03;-4,03;2,84
19.04.2024 10:40:39;0,8485625;0;8,04;9,15;-3,90;2,85
19.04.2024 10:40:39;0,9735625;0;8,59;8,63;-3,59;3,28
19.04.2024 10:40:40;0,0985625;0;8,28;8,93;-3,92;3,14
19.04.2024 10:40:40;0,2235625;0;8,16;9,04;-4,18;2,95
19.04.2024 10:40:40;0,3485625;0;8,31;8,91;-4,05;3,33
19.04.2024 10:40:40;0,4735625;0;8,56;8,67;-4,01;3,41
19.04.2024 10:40:40;0,5985625;0;8,16;9,04;-4,13;3,16
19.04.2024 10:40:40;0,7235625;0;8,30;8,91;-3,95;2,91
19.04.2024 10:40:40;0,8485625;0;8,39;8,83;-3,61;3,00
19.04.2024 10:40:40;0,9735625;0;8,44;8,78;-3,56;2,84
19.04.2024 10:40:41;0,0985625;0;8,17;9,03;-3,93;2,89
19.04.2024 10:40:41;0,2235625;0;8,37;8,85;-4,00;3,13
19.04.2024 10:40:41;0,3485625;0;8,37;8,84;-3,94;3,31
19.04.2024 10:40:41;0,4735625;0;8,30;8,91;-4,05;3,06
19.04.2024 10:40:41;0,5985625;0;8,08;9,12;-4,24;3,17
19.04.2024 10:40:41;0,7235625;0;8,40;8,82;-4,08;3,49
19.04.2024 10:40:41;0,8485625;0;8,34;8,89;-4,30;3,42
