Position [m]	Sabre [mm/m]	Band width [mm]
0.00	0.42	12.08
0.03	0.44	12.08
0.05	0.42	12.09
0.08	0.42	12.09
0.11	0.44	12.08
0.13	0.42	12.09
0.16	0.43	12.08
0.18	0.43	12.09
0.21	0.42	12.08
0.24	0.43	12.09
0.26	0.43	12.08
0.29	0.43	12.08
0.32	0.43	12.09
0.34	0.42	12.09
0.37	0.43	12.09
0.39	0.43	12.08
0.42	0.42	12.09
0.45	0.43	12.08
0.47	0.43	12.09
0.50	0.42	12.09
0.53	0.44	12.08
0.55	0.42	12.09
0.58	0.42	12.08
0.61	0.44	12.08
0.63	0.42	12.09
0.66	0.42	12.08
0.68	0.44	12.08
0.71	0.42	12.08
0.74	0.42	12.09
0.76	0.44	12.09
0.79	0.42	12.09
0.82	0.42	12.09
0.84	0.45	12.08
0.87	0.41	12.09
0.90	0.42	12.09
0.92	0.45	12.08
0.95	0.41	12.09
0.97	0.42	12.09
1.00	0.45	12.08
1.03	0.40	12.09
1.05	0.45	12.08
1.08	0.44	12.09
1.11	0.40	12.09
1.13	0.38	12.09
1.16	0.45	12.09
1.18	0.40	12.09
1.21	0.41	12.09
1.24	0.46	12.08
1.26	0.47	12.09
1.29	0.47	12.07
1.32	0.48	12.08
1.34	0.42	12.09
1.37	0.38	12.08
1.40	0.38	12.08
1.42	0.36	12.08
1.45	0.33	12.08
1.47	0.40	12.08
1.50	0.33	12.08
1.53	0.36	12.08
1.55	0.41	12.08
1.58	0.36	12.08
1.61	0.48	12.08
1.63	0.42	12.07
1.66	0.37	12.07
1.69	0.53	12.08
1.71	0.45	12.08
1.74	0.39	12.08
1.76	0.53	12.08
1.79	0.39	12.08
1.82	0.38	12.08
1.84	0.38	12.08
1.87	0.47	12.08
1.90	0.35	12.08
1.92	0.37	12.08
1.95	0.31	12.08
1.97	0.45	12.08
2.00	0.31	12.08
2.03	0.44	12.08
2.05	0.38	12.08
2.08	0.51	12.08
2.11	0.39	12.08
2.13	0.48	12.08
2.16	0.41	12.09
2.19	0.32	12.08
2.21	0.30	12.09
2.24	0.38	12.08
2.26	0.33	12.08
2.29	0.38	12.08
2.32	0.28	12.09
2.34	0.44	12.08
2.37	0.39	12.08
2.40	0.26	12.08
2.42	0.33	12.09
2.45	0.44	12.08
2.48	0.36	12.08
2.50	0.23	12.08
2.53	0.43	12.08
2.55	0.38	12.08
2.58	0.24	12.08
2.61	0.21	12.08
2.63	0.49	12.08
2.66	0.28	12.07
2.69	0.18	12.08
2.71	0.42	12.08
2.74	0.46	12.08
2.76	0.19	12.08
2.79	0.33	12.08
2.82	0.36	12.09
2.84	0.31	12.08
2.87	0.26	12.08
2.90	0.43	12.08
2.92	0.36	12.08
2.95	0.28	12.08
2.98	0.39	12.09
3.00	0.40	12.09
3.03	0.31	12.08
3.05	0.29	12.08
3.08	0.46	12.09
3.11	0.38	12.08
3.13	0.23	12.08
3.16	0.48	12.08
3.19	0.45	12.08
3.21	0.34	12.08
3.24	0.21	12.08
3.27	0.52	12.08
3.29	0.31	12.08
3.32	0.23	12.08
3.34	0.35	12.09
3.37	0.51	12.08
3.40	0.15	12.08
3.42	0.29	12.09
3.45	0.51	12.08
3.48	0.44	12.08
3.50	0.25	12.08
3.53	0.45	12.09
3.55	0.40	12.09
3.58	0.31	12.08
3.61	0.33	12.08
3.63	0.38	12.08
3.66	0.44	12.08
3.69	0.24	12.08
3.71	0.38	12.08
3.74	0.31	12.08
3.77	0.31	12.07
3.79	0.24	12.08
3.82	0.49	12.08
3.84	0.30	12.08
3.87	0.31	12.07
3.90	0.49	12.08
3.92	0.37	12.09
3.95	0.28	12.09
3.98	0.35	12.08
4.00	0.47	12.08
4.03	0.26	12.08
4.06	0.31	12.08
4.08	0.42	12.08
4.11	0.48	12.08
4.13	0.18	12.07
4.16	0.41	12.08
4.19	0.47	12.09
4.21	0.41	12.08
4.24	0.24	12.08
4.27	0.55	12.08
4.29	0.40	12.08
4.32	0.21	12.08
4.34	0.49	12.08
4.37	0.39	12.08
4.40	0.38	12.08
4.42	0.30	12.08
4.45	0.43	12.08
4.48	0.30	12.07
4.50	0.36	12.08
4.53	0.40	12.09
4.56	0.50	12.08
4.58	0.30	12.08
4.61	0.35	12.09
4.63	0.46	12.09
4.66	0.26	12.08
4.69	0.34	12.08
4.71	0.28	12.08
4.74	0.38	12.08
4.77	0.18	12.08
4.79	0.33	12.08
4.82	0.36	12.08
4.85	0.36	12.08
4.87	0.11	12.08
4.90	0.51	12.09
4.92	0.42	12.08
4.95	0.27	12.08
4.98	0.38	12.08
5.00	0.50	12.09
5.03	0.31	12.08
5.06	0.29	12.08
5.08	0.43	12.08
5.11	0.34	12.08
5.13	0.41	12.08
5.16	0.09	12.09
5.19	0.40	12.09
5.21	0.36	12.08
5.24	0.28	12.08
5.27	0.31	12.08
5.29	0.56	12.08
5.32	0.29	12.08
5.35	0.35	12.09
5.37	0.47	12.08
5.40	0.35	12.09
5.42	0.35	12.09
5.45	0.32	12.09
5.48	0.44	12.08
5.50	0.17	12.08
5.53	0.34	12.08
5.56	0.31	12.08
5.58	0.32	12.08
5.61	0.11	12.08
5.64	0.47	12.08
5.66	0.32	12.08
5.69	0.26	12.07
5.71	0.24	12.08
5.74	0.59	12.08
5.77	0.26	12.08
5.79	0.33	12.08
5.82	0.55	12.08
5.85	0.28	12.09
5.87	0.22	12.08
5.90	0.26	12.08
5.92	0.41	12.08
5.95	0.22	12.08
5.98	0.29	12.08
6.00	0.23	12.08
6.03	0.51	12.07
6.06	0.14	12.08
6.08	0.29	12.08
6.11	0.45	12.08
6.14	0.31	12.08
6.16	0.34	12.08
6.19	0.38	12.08
6.21	0.34	12.08
6.24	0.27	12.09
6.27	0.38	12.09
6.29	0.32	12.08
6.32	0.29	12.08
6.35	0.29	12.08
6.37	0.41	12.09
6.40	0.32	12.08
6.43	0.33	12.08
6.45	0.27	12.09
6.48	0.62	12.07
6.50	0.26	12.08
6.53	0.31	12.08
6.56	0.43	12.08
6.58	0.33	12.08
6.61	0.21	12.07
6.64	0.33	12.08
6.66	0.48	12.08
6.69	0.17	12.08
6.71	0.28	12.08
6.74	0.27	12.09
6.77	0.39	12.08
6.79	0.20	12.08
6.82	0.38	12.08
6.85	0.37	12.09
6.87	0.38	12.08
6.90	0.21	12.08
6.93	0.42	12.08
6.95	0.31	12.08
6.98	0.25	12.08
7.00	0.30	12.08
7.03	0.34	12.08
7.06	0.22	12.08
7.08	0.24	12.09
7.11	0.36	12.08
7.14	0.19	12.08
7.16	0.34	12.08
7.19	0.30	12.08
7.22	0.43	12.08
7.24	0.20	12.08
7.27	0.41	12.09
7.29	0.41	12.08
7.32	0.29	12.08
7.35	0.27	12.08
7.37	0.48	12.08
7.40	0.33	12.08
7.43	0.16	12.07
7.45	0.31	12.08
7.48	0.39	12.08
7.50	0.18	12.08
7.53	0.15	12.08
7.56	0.48	12.08
7.58	0.37	12.08
7.61	0.28	12.08
7.64	0.27	12.09
7.66	0.51	12.09
7.69	0.17	12.08
7.72	0.31	12.07
7.74	0.30	12.09
7.77	0.37	12.08
7.79	0.17	12.08
7.82	0.26	12.08
7.85	0.30	12.08
7.87	0.28	12.09
7.90	0.20	12.08
7.93	0.43	12.08
7.95	0.35	12.08
7.98	0.18	12.08
8.01	0.39	12.08
8.03	0.32	12.08
