Position [m]	Sabre [mm/m]	Band width [mm]
8.06	0.16	12.07
8.08	0.27	12.08
8.11	0.36	12.08
8.14	0.23	12.08
8.16	0.23	12.07
8.19	0.31	12.09
8.22	0.41	12.08
8.24	0.26	12.08
8.27	0.21	12.08
8.29	0.45	12.09
8.32	0.32	12.08
8.35	0.18	12.08
8.37	0.38	12.08
8.40	0.39	12.08
8.43	0.12	12.08
8.45	0.30	12.08
8.48	0.31	12.08
8.51	0.23	12.07
8.53	0.27	12.08
8.56	0.33	12.08
8.58	0.30	12.08
8.61	0.28	12.09
8.64	0.34	12.08
8.66	0.31	12.08
8.69	0.29	12.08
8.72	0.14	12.08
8.74	0.34	12.08
8.77	0.28	12.08
8.80	0.17	12.08
8.82	0.22	12.07
8.85	0.40	12.09
8.87	0.11	12.08
8.90	0.20	12.07
8.93	0.35	12.08
8.95	0.26	12.08
8.98	0.13	12.07
9.01	0.29	12.08
9.03	0.36	12.08
9.06	0.23	12.08
9.08	0.14	12.08
9.11	0.34	12.08
9.14	0.43	12.08
9.16	0.07	12.08
9.19	0.27	12.08
9.22	0.35	12.08
9.24	0.26	12.08
9.27	0.10	12.08
9.30	0.35	12.08
9.32	0.26	12.08
9.35	0.20	12.08
9.37	0.17	12.08
9.40	0.34	12.08
9.43	0.22	12.08
9.45	0.21	12.07
9.48	0.26	12.08
9.51	0.40	12.09
9.53	0.20	12.08
9.56	0.24	12.09
9.59	0.36	12.08
9.61	0.17	12.08
9.64	0.18	12.08
9.66	0.32	12.08
9.69	0.21	12.07
9.72	0.06	12.08
9.74	0.36	12.08
9.77	0.20	12.08
9.80	0.13	12.08
9.82	0.15	12.08
9.85	0.34	12.08
9.87	0.28	12.08
9.90	0.08	12.08
9.93	0.33	12.08
9.95	0.43	12.08
9.98	0.17	12.08
10.01	0.17	12.08
10.03	0.33	12.08
10.06	0.35	12.08
10.09	0.07	12.08
10.11	0.19	12.09
10.14	0.36	12.08
10.16	0.15	12.08
10.19	0.16	12.09
10.22	0.28	12.08
10.24	0.34	12.08
10.27	0.25	12.08
10.30	0.25	12.09
10.32	0.36	12.08
10.35	0.27	12.09
10.38	0.22	12.08
10.40	0.40	12.08
10.43	0.39	12.08
10.45	0.15	12.08
10.48	0.30	12.08
10.51	0.33	12.08
10.53	0.07	12.08
10.56	0.17	12.08
10.59	0.30	12.07
10.61	0.22	12.07
10.64	0.07	12.08
10.66	0.36	12.08
10.69	0.33	12.08
10.72	0.15	12.08
10.74	0.26	12.08
10.77	0.46	12.09
10.80	0.29	12.08
10.82	0.06	12.08
10.85	0.42	12.09
10.88	0.36	12.08
10.90	0.02	12.08
10.93	0.28	12.09
10.95	0.34	12.08
10.98	0.19	12.07
11.01	0.22	12.07
11.03	0.24	12.08
11.06	0.38	12.08
11.09	0.23	12.07
11.11	0.28	12.09
11.14	0.38	12.08
11.17	0.39	12.08
11.19	0.12	12.08
11.22	0.51	12.08
11.24	0.25	12.08
11.27	0.14	12.08
11.30	0.28	12.09
11.32	0.32	12.08
11.35	0.12	12.08
11.38	0.26	12.08
11.40	0.37	12.08
11.43	0.23	12.07
11.45	0.20	12.08
11.48	0.35	12.09
11.51	0.36	12.08
11.53	0.16	12.08
11.56	0.12	12.08
11.59	0.50	12.09
11.61	0.24	12.08
11.64	0.01	12.08
11.67	0.42	12.09
11.69	0.22	12.08
11.72	0.17	12.08
11.74	0.14	12.08
11.77	0.36	12.08
11.80	0.27	12.08
11.82	0.20	12.08
11.85	0.18	12.08
11.88	0.42	12.08
11.90	0.22	12.07
11.93	0.10	12.08
11.96	0.31	12.08
11.98	0.22	12.08
12.01	0.25	12.08
12.03	0.26	12.08
12.06	0.40	12.08
12.09	0.29	12.08
12.11	0.28	12.09
12.14	0.29	12.08
12.17	0.31	12.08
12.19	0.11	12.08
12.22	0.34	12.08
12.24	0.26	12.08
12.27	0.15	12.08
12.30	0.16	12.09
12.32	0.44	12.08
12.35	0.20	12.08
12.38	0.18	12.08
12.40	0.34	12.09
12.43	0.26	12.08
12.46	0.28	12.09
12.48	0.17	12.08
12.51	0.31	12.09
12.53	0.33	12.08
12.56	0.15	12.08
12.59	0.12	12.08
12.61	0.35	12.08
12.64	0.14	12.08
12.67	0.18	12.08
12.69	0.24	12.08
12.72	0.25	12.07
12.75	0.29	12.08
12.77	0.27	12.09
12.80	0.28	12.09
12.82	0.34	12.08
12.85	0.34	12.08
12.88	0.30	12.08
12.90	0.32	12.08
12.93	0.11	12.08
12.96	0.29	12.08
12.98	0.23	12.08
13.01	0.06	12.08
13.03	0.25	12.08
13.06	0.40	12.08
13.09	0.11	12.08
13.11	0.26	12.08
13.14	0.40	12.08
13.17	0.28	12.08
13.19	0.31	12.08
13.22	0.23	12.09
13.25	0.45	12.08
13.27	0.35	12.08
13.30	0.01	12.08
13.32	0.20	12.08
13.35	0.33	12.09
13.38	-0.01	12.08
13.40	0.07	12.08
13.43	0.40	12.08
13.46	0.20	12.08
13.48	0.09	12.08
13.51	0.45	12.08
13.53	0.27	12.08
13.56	0.21	12.07
13.59	0.27	12.09
13.61	0.33	12.08
13.64	0.40	12.08
13.67	0.10	12.08
13.69	0.23	12.08
13.72	0.40	12.08
13.75	0.07	12.08
13.77	0.11	12.09
13.80	0.47	12.08
13.82	0.01	12.08
13.85	0.22	12.08
13.88	0.35	12.09
13.90	0.25	12.08
13.93	0.15	12.08
13.96	0.39	12.08
13.98	0.27	12.08
14.01	0.29	12.09
14.04	0.02	12.08
14.06	0.31	12.08
14.09	0.36	12.08
14.11	0.01	12.08
14.14	0.21	12.08
14.17	0.44	12.09
14.19	0.11	12.08
14.22	0.07	12.08
14.25	0.44	12.08
14.27	0.14	12.08
14.30	0.15	12.08
14.32	0.27	12.09
14.35	0.26	12.08
14.38	0.31	12.08
14.40	0.05	12.08
14.43	0.22	12.08
14.46	0.38	12.08
14.48	-0.06	12.09
14.51	0.28	12.08
14.54	0.40	12.08
14.56	0.12	12.08
14.59	0.24	12.08
14.61	0.27	12.09
14.64	0.27	12.08
14.67	0.21	12.08
14.69	0.24	12.08
14.72	0.28	12.08
14.75	0.31	12.08
14.77	0.03	12.08
14.80	0.39	12.08
14.83	0.24	12.08
14.85	-0.00	12.08
14.88	0.35	12.08
14.90	0.36	12.09
14.93	0.04	12.08
14.96	0.18	12.08
14.98	0.39	12.08
15.01	0.08	12.08
15.04	0.22	12.08
15.06	0.22	12.08
15.09	0.31	12.08
15.11	0.26	12.08
15.14	0.02	12.08
15.17	0.35	12.08
15.19	0.29	12.08
15.22	0.02	12.08
15.25	0.28	12.09
15.27	0.33	12.08
15.30	0.07	12.08
15.33	0.24	12.08
15.35	0.33	12.08
15.38	0.25	12.08
15.40	0.25	12.08
15.43	0.26	12.09
15.46	0.27	12.08
15.48	0.23	12.07
15.51	0.16	12.08
15.54	0.31	12.07
15.56	0.28	12.09
15.59	0.14	12.08
15.62	0.33	12.08
15.64	0.25	12.08
15.67	0.13	12.08
15.69	0.21	12.08
15.72	0.46	12.09
15.75	0.09	12.08
15.77	0.25	12.08
15.80	0.33	12.08
15.83	0.22	12.07
15.85	0.22	12.08
15.88	0.26	12.08
15.90	0.31	12.08
15.93	0.25	12.08
15.96	0.08	12.08
15.98	0.28	12.07
16.01	0.32	12.08
16.04	0.03	12.08
16.06	0.28	12.09
16.09	0.34	12.08
16.12	0.18	12.09
16.14	0.24	12.08
16.17	0.38	12.08
16.19	0.20	12.08
16.22	0.23	12.08
16.25	0.22	12.08
16.27	0.30	12.07
16.30	0.25	12.08
16.33	0.20	12.08
16.35	0.34	12.08
16.38	0.27	12.09
16.41	0.16	12.07
16.43	0.32	12.09
16.46	0.42	12.08
16.48	0.02	12.08
16.51	0.33	12.08
16.54	0.39	12.08
16.56	0.16	12.08
16.59	0.13	12.08
16.62	0.40	12.08
16.64	0.23	12.07
16.67	0.10	12.08
16.69	0.18	12.08
16.72	0.35	12.09
16.75	0.23	12.07
16.77	0.10	12.08
16.80	0.31	12.08
16.83	0.37	12.08
16.85	0.23	12.08
16.88	0.10	12.08
16.91	0.45	12.09
16.93	0.17	12.08
16.96	0.18	12.08
16.98	0.28	12.09
17.01	0.43	12.08
17.04	0.22	12.08
17.06	0.21	12.09
17.09	0.26	12.08
17.12	0.34	12.08
17.14	0.06	12.08
17.17	0.24	12.08
17.20	0.35	12.08
17.22	0.13	12.08
17.25	0.31	12.08
17.27	0.33	12.08
17.30	0.17	12.08
17.33	0.25	12.08
17.35	0.37	12.09
17.38	0.26	12.08
17.41	0.22	12.08
17.43	0.17	12.09
17.46	0.33	12.08
17.48	0.23	12.08
17.51	0.11	12.08
17.54	0.19	12.09
17.56	0.36	12.08
17.59	0.13	12.07
17.62	0.13	12.08
17.64	0.44	12.08
17.67	0.20	12.08
17.70	0.16	12.09
17.72	0.44	12.09
17.75	0.30	12.09
17.77	0.21	12.09
17.80	0.31	12.08
17.83	0.33	12.08
17.85	0.26	12.08
17.88	0.14	12.08
17.91	0.26	12.08
17.93	0.27	12.08
17.96	0.19	12.08
17.99	0.17	12.08
18.01	0.48	12.08
18.04	0.19	12.07
18.06	0.31	12.08
18.09	0.47	12.08
18.12	0.28	12.09
18.14	0.21	12.08
18.17	0.35	12.09
18.20	0.23	12.08
18.22	0.22	12.08
18.25	0.20	12.09
18.27	0.21	12.08
18.30	0.34	12.08
18.33	0.10	12.08
18.35	0.21	12.07
18.38	0.44	12.08
18.41	0.14	12.08
18.43	0.20	12.08
18.46	0.46	12.08
18.49	0.24	12.08
18.51	0.16	12.08
18.54	0.25	12.09
18.56	0.38	12.08
18.59	0.17	12.08
18.62	0.10	12.08
18.64	0.39	12.08
18.67	0.27	12.08
18.70	0.14	12.08
18.72	0.22	12.08
18.75	0.46	12.08
18.78	0.18	12.08
18.80	0.24	12.09
18.83	0.25	12.08
18.85	0.30	12.08
18.88	0.16	12.08
18.91	0.32	12.08
18.93	0.38	12.08
18.96	0.19	12.08
18.99	0.26	12.08
19.01	0.35	12.08
19.04	0.22	12.08
19.06	0.10	12.08
19.09	0.37	12.08
19.12	0.23	12.08
19.14	0.10	12.08
19.17	0.23	12.09
19.20	0.40	12.09
19.22	0.14	12.08
19.25	0.19	12.09
19.28	0.36	12.08
19.30	0.48	12.08
19.33	0.06	12.08
19.35	0.26	12.08
19.38	0.44	12.08
19.41	0.18	12.08
19.43	0.14	12.08
19.46	0.36	12.09
19.49	0.40	12.08
19.51	0.03	12.08
19.54	0.26	12.08
19.57	0.35	12.08
19.59	0.18	12.08
19.62	0.13	12.08
19.64	0.42	12.09
19.67	0.27	12.08
19.70	0.24	12.08
19.72	0.28	12.09
19.75	0.31	12.08
19.78	0.12	12.08
19.80	0.17	12.09
19.83	0.29	12.08
19.85	0.25	12.08
19.88	0.13	12.08
19.91	0.30	12.09
19.93	0.36	12.09
19.96	0.11	12.08
19.99	0.23	12.08
20.01	0.36	12.08
20.04	0.30	12.08
20.07	0.04	12.08
20.09	0.35	12.08
20.12	0.34	12.08
20.14	0.14	12.08
20.17	0.15	12.08
20.20	0.38	12.08
20.22	0.36	12.08
20.25	0.06	12.08
20.28	0.27	12.08
20.30	0.40	12.08
20.33	0.11	12.08
20.36	0.12	12.08
20.38	0.41	12.08
20.41	0.28	12.08
20.43	0.22	12.08
20.46	0.16	12.09
20.49	0.30	12.08
20.51	0.21	12.08
20.54	0.14	12.08
20.57	0.25	12.08
20.59	0.27	12.08
20.62	0.16	12.09
20.64	0.27	12.08
20.67	0.31	12.07
20.70	0.16	12.09
20.72	0.22	12.09
20.75	0.30	12.09
20.78	0.25	12.08
20.80	0.06	12.08
20.83	0.35	12.09
20.86	0.20	12.08
20.88	0.12	12.08
20.91	0.23	12.08
20.93	0.37	12.08
20.96	0.20	12.08
20.99	0.09	12.08
21.01	0.41	12.08
21.04	0.28	12.09
21.07	0.19	12.08
21.09	0.28	12.09
21.12	0.34	12.08
21.15	0.16	12.09
21.17	0.13	12.08
21.20	0.20	12.08
21.22	0.28	12.08
21.25	0.07	12.08
21.28	0.18	12.08
21.30	0.34	12.08
21.33	0.20	12.07
21.36	0.17	12.08
21.38	0.39	12.08
21.41	0.23	12.07
21.43	0.18	12.08
21.46	0.30	12.08
21.49	0.26	12.08
21.51	0.17	12.09
21.54	0.08	12.08
21.57	0.38	12.08
21.59	0.17	12.08
21.62	0.09	12.08
21.65	0.26	12.08
21.67	0.37	12.07
21.70	0.15	12.08
21.72	0.18	12.08
21.75	0.41	12.08
21.78	0.34	12.08
21.80	0.09	12.08
21.83	0.25	12.08
21.86	0.43	12.09
21.88	0.10	12.08
21.91	0.19	12.08
21.94	0.23	12.09
21.96	0.33	12.08
21.99	0.07	12.08
22.01	0.21	12.08
22.04	0.33	12.08
22.07	0.20	12.08
22.09	0.06	12.08
22.12	0.29	12.07
22.15	0.22	12.07
22.17	0.20	12.08
22.20	0.32	12.09
22.22	0.29	12.08
22.25	0.31	12.07
22.28	0.31	12.08
22.30	0.41	12.08
22.33	0.21	12.09
22.36	0.25	12.09
22.38	0.30	12.09
22.41	0.33	12.08
22.44	-0.01	12.08
22.46	0.33	12.08
22.49	0.31	12.08
22.51	0.17	12.08
22.54	0.14	12.08
22.57	0.47	12.08
22.59	0.33	12.08
22.62	0.19	12.08
22.65	0.40	12.08
22.67	0.41	12.08
22.70	0.31	12.07
22.73	0.14	12.08
22.75	0.36	12.09
22.78	0.28	12.09
22.80	0.17	12.08
22.83	0.16	12.08
22.86	0.37	12.08
22.88	0.19	12.07
22.91	0.16	12.09
22.94	0.28	12.09
22.96	0.29	12.08
22.99	0.23	12.08
23.01	0.30	12.09
23.04	0.45	12.09
23.07	0.29	12.08
23.09	0.33	12.08
23.12	0.33	12.08
23.15	0.34	12.08
23.17	0.16	12.09
23.20	0.28	12.09
23.23	0.33	12.08
23.25	0.27	12.08
23.28	0.13	12.08
23.30	0.44	12.08
23.33	0.28	12.08
23.36	0.12	12.08
23.38	0.40	12.08
23.41	0.47	12.07
23.44	0.33	12.08
23.46	0.11	12.08
23.49	0.52	12.08
23.52	0.27	12.08
23.54	0.15	12.08
23.57	0.17	12.09
23.59	0.37	12.07
23.62	0.28	12.08
23.65	0.06	12.08
23.67	0.34	12.08
23.70	0.45	12.08
23.73	0.12	12.08
23.75	0.27	12.09
23.78	0.50	12.07
23.80	0.19	12.08
23.83	0.26	12.08
23.86	0.34	12.08
23.88	0.27	12.08
23.91	0.18	12.08
23.94	0.39	12.08
23.96	0.27	12.08
23.99	0.27	12.08
24.02	0.30	12.09
24.04	0.37	12.09
24.07	0.23	12.08
24.09	0.16	12.08
24.12	0.27	12.08
24.15	0.33	12.08
24.17	0.20	12.07
24.20	0.13	12.08
24.23	0.54	12.08
24.25	0.21	12.07
24.28	0.17	12.08
24.31	0.28	12.09
24.33	0.39	12.08
24.36	0.19	12.08
24.38	0.17	12.09
24.41	0.33	12.08
24.44	0.36	12.08
24.46	0.14	12.08
24.49	0.30	12.09
24.52	0.36	12.08
24.54	0.31	12.08
24.57	0.11	12.08
24.59	0.26	12.08
24.62	0.31	12.08
24.65	0.22	12.08
24.67	0.22	12.09
24.70	0.30	12.09
24.73	0.32	12.08
24.75	0.19	12.09
24.78	0.31	12.07
24.81	0.31	12.08
24.83	0.24	12.09
24.86	0.18	12.08
24.88	0.29	12.08
24.91	0.17	12.08
24.94	0.21	12.08
24.96	0.28	12.08
24.99	0.16	12.07
25.02	0.23	12.08
25.04	0.33	12.08
25.07	0.25	12.08
25.10	0.23	12.07
25.12	0.29	12.08
25.15	0.36	12.08
25.17	0.28	12.09
25.20	0.17	12.09
25.23	0.27	12.08
25.25	0.25	12.08
25.28	0.19	12.08
25.31	0.23	12.08
25.33	0.31	12.08
25.36	0.28	12.08
25.38	0.31	12.08
25.41	0.22	12.07
25.44	0.31	12.08
25.46	0.25	12.08
25.49	0.15	12.08
25.52	0.28	12.09
25.54	0.28	12.08
25.57	0.17	12.09
25.60	0.19	12.08
25.62	0.26	12.08
25.65	0.30	12.08
25.67	0.25	12.08
25.70	0.22	12.08
25.73	0.28	12.09
25.75	0.32	12.08
25.78	0.27	12.08
25.81	0.22	12.08
25.83	0.21	12.07
25.86	0.29	12.08
25.89	0.34	12.08
25.91	0.19	12.08
25.94	0.29	12.08
25.96	0.36	12.08
25.99	0.29	12.07
26.02	0.23	12.08
26.04	0.38	12.08
26.07	0.37	12.08
26.10	0.22	12.07
26.12	0.25	12.09
26.15	0.36	12.08
26.17	0.27	12.08
26.20	0.20	12.08
26.23	0.29	12.08
26.25	0.29	12.08
26.28	0.31	12.08
26.31	0.22	12.08
26.33	0.26	12.08
26.36	0.25	12.08
26.39	0.29	12.08
26.41	0.32	12.08
26.44	0.36	12.09
26.46	0.30	12.08
26.49	0.35	12.09
26.52	0.33	12.08
26.54	0.23	12.08
26.57	0.33	12.08
26.60	0.35	12.09
26.62	0.21	12.08
26.65	0.20	12.08
26.67	0.44	12.08
26.70	0.28	12.08
26.73	0.15	12.08
26.75	0.29	12.08
26.78	0.48	12.08
26.81	0.36	12.08
26.83	0.22	12.08
26.86	0.43	12.09
26.89	0.41	12.09
26.91	0.22	12.08
26.94	0.09	12.09
26.96	0.31	12.08
26.99	0.26	12.08
27.02	0.17	12.08
27.04	0.09	12.08
27.07	0.36	12.08
27.10	0.26	12.08
27.12	0.30	12.09
27.15	0.34	12.08
27.18	0.49	12.08
27.20	0.27	12.08
27.23	0.30	12.07
27.25	0.40	12.09
27.28	0.30	12.08
27.31	0.17	12.08
27.33	0.29	12.08
27.36	0.27	12.08
27.39	0.19	12.07
27.41	0.32	12.09
27.44	0.24	12.08
27.46	0.31	12.07
27.49	0.22	12.08
27.52	0.42	12.08
27.54	0.36	12.08
27.57	0.25	12.08
27.60	0.29	12.08
27.62	0.45	12.08
27.65	0.16	12.07
27.68	0.17	12.09
27.70	0.34	12.08
27.73	0.24	12.08
27.75	0.11	12.08
27.78	0.22	12.08
27.81	0.36	12.08
27.83	0.19	12.08
27.86	0.30	12.08
27.89	0.31	12.08
27.91	0.45	12.08
27.94	0.25	12.08
27.97	0.28	12.09
27.99	0.39	12.08
28.02	0.29	12.08
28.04	0.22	12.08
28.07	0.26	12.08
28.10	0.23	12.08
28.12	0.24	12.08
28.15	0.24	12.08
28.18	0.30	12.07
28.20	0.30	12.07
28.23	0.28	12.09
28.25	0.34	12.08
28.28	0.22	12.08
28.31	0.28	12.09
28.33	0.38	12.08
28.36	0.26	12.08
28.39	0.15	12.08
28.41	0.36	12.08
28.44	0.28	12.08
28.47	0.22	12.08
28.49	0.23	12.09
28.52	0.30	12.08
28.54	0.47	12.08
28.57	0.13	12.08
28.60	0.30	12.09
28.62	0.46	12.08
28.65	0.13	12.08
28.68	0.26	12.08
28.70	0.44	12.08
28.73	0.22	12.08
28.76	0.26	12.08
28.78	0.26	12.08
28.81	0.30	12.08
28.83	0.40	12.08
28.86	0.10	12.08
28.89	0.29	12.08
28.91	0.41	12.08
28.94	0.11	12.08
28.97	0.31	12.08
28.99	0.32	12.08
29.02	0.10	12.08
29.04	0.38	12.08
29.07	0.31	12.07
29.10	0.18	12.08
29.12	0.39	12.08
29.15	0.32	12.08
29.18	0.23	12.08
29.20	0.30	12.09
29.23	0.27	12.09
29.26	0.45	12.09
29.28	0.32	12.08
29.31	0.13	12.08
29.33	0.48	12.08
29.36	0.38	12.08
29.39	0.03	12.08
29.41	0.40	12.08
29.44	0.50	12.08
29.47	0.24	12.08
29.49	0.25	12.08
29.52	0.33	12.08
29.55	0.30	12.08
29.57	0.27	12.08
29.60	0.16	12.09
29.62	0.36	12.08
29.65	0.46	12.08
29.68	0.02	12.08
29.70	0.35	12.09
29.73	0.33	12.08
29.76	0.17	12.08
29.78	0.26	12.08
29.81	0.34	12.08
29.83	0.25	12.08
29.86	0.46	12.09
29.89	0.27	12.08
29.91	0.26	12.08
29.94	0.43	12.08
29.97	0.36	12.09
29.99	0.36	12.08
30.02	0.26	12.08
30.05	0.26	12.08
30.07	0.39	12.08
30.10	0.27	12.09
30.12	0.01	12.08
30.15	0.47	12.09
30.18	0.33	12.08
30.20	0.07	12.08
30.23	0.26	12.08
30.26	0.53	12.08
30.28	0.21	12.08
30.31	0.36	12.08
30.34	0.29	12.08
30.36	0.36	12.08
30.39	0.36	12.08
30.41	0.06	12.08
30.44	0.40	12.08
30.47	0.42	12.08
30.49	0.10	12.08
30.52	0.35	12.09
30.55	0.56	12.08
30.57	0.17	12.08
